Year,Month,County
106,9,高雄市新興區
107,1,高雄市新興區
109,4,高雄市新興區
109,6,高雄市新興區
101,3,臺北市萬華區
101,3,臺北市萬華區
101,5,臺北市萬華區
101,10,臺北市萬華區
101,10,臺北市萬華區
101,11,臺北市萬華區
101,11,臺北市萬華區
101,12,臺北市萬華區
102,4,臺北市萬華區
102,6,臺北市萬華區
102,7,臺北市萬華區
102,8,臺北市萬華區
102,9,臺北市萬華區
102,10,臺北市萬華區
102,12,臺北市萬華區
103,5,臺北市萬華區
103,11,臺北市萬華區
104,2,臺北市萬華區
104,5,臺北市萬華區
104,8,臺北市萬華區
105,6,臺北市萬華區
105,6,臺北市萬華區
105,7,臺北市萬華區
105,11,臺北市萬華區
105,11,臺北市萬華區
105,12,臺北市萬華區
106,1,臺北市萬華區
106,9,臺北市萬華區
107,2,臺北市萬華區
107,8,臺北市萬華區
108,4,臺北市萬華區
109,6,臺北市萬華區
109,9,臺北市萬華區
109,12,臺北市萬華區
110,1,臺北市萬華區
110,2,臺北市萬華區
110,11,臺北市萬華區
110,12,臺北市萬華區
101,9,高雄市旗津區
102,5,高雄市旗津區
103,6,高雄市旗津區
103,7,高雄市旗津區
105,8,高雄市旗津區
105,11,高雄市旗津區
109,1,高雄市旗津區
109,8,高雄市旗津區
109,10,高雄市旗津區
102,3,新北市蘆洲區
102,11,新北市蘆洲區
103,12,新北市蘆洲區
105,10,新北市蘆洲區
106,11,新北市蘆洲區
108,1,新北市蘆洲區
108,1,新北市蘆洲區
108,6,新北市蘆洲區
109,11,新北市蘆洲區
110,1,新北市蘆洲區
109,9,高雄市鹽埕區
